,ideal,ngem,zne,noisy,depth
1101,-0.228515625,-0.23713794350624084,-0.09775000065565109,-0.1679999977350235,3
1102,-0.205078125,-0.45641887187957764,-0.304749995470047,-0.38850000500679016,3
1103,-0.220703125,-0.10104072093963623,-0.026249999180436134,-0.06849999725818634,3
1104,-0.18359375,0.04634962975978851,-0.12999999523162842,0.035999998450279236,3
1105,-0.150390625,-0.16376322507858276,-0.10499999672174454,-0.10499999672174454,3
1106,-0.25,0.048038650304079056,-0.17024999856948853,0.07649999856948853,3
1107,-0.203125,-0.06799677014350891,-0.17624999582767487,-0.08299999684095383,3
1108,-0.25,-0.2840302884578705,-0.25824999809265137,-0.2370000034570694,3
1109,-0.169921875,-0.10403351485729218,-0.0022499999031424522,-0.05649999901652336,3
1110,-0.162109375,0.034908950328826904,-0.24924999475479126,0.06549999862909317,3
1111,-0.158203125,-0.18252742290496826,-0.016750000417232513,-0.13300000131130219,3
1112,-0.2265625,-0.3051431179046631,-0.20550000667572021,-0.26750001311302185,3
1113,-0.205078125,-0.1828886866569519,-0.07699999958276749,-0.12950000166893005,3
1114,-0.150390625,-0.17994076013565063,-0.19975000619888306,-0.1145000010728836,3
1115,-0.232421875,-0.28925344347953796,-0.2317499965429306,-0.23149999976158142,3
1116,-0.19921875,-0.15376612544059753,-0.1577499955892563,-0.11800000071525574,3
1117,-0.1953125,-0.05189388990402222,-0.050999999046325684,-0.04500000178813934,3
1118,-0.16796875,-0.1596240997314453,-0.12974999845027924,-0.13650000095367432,3
1119,-0.22265625,-0.17871272563934326,-0.2212499976158142,-0.16850000619888306,3
1120,-0.201171875,-0.19444450736045837,-0.1835000067949295,-0.14350000023841858,3
1121,-0.154296875,-0.047747865319252014,-0.09375,-0.04749999940395355,3
1122,-0.2109375,-0.2551414370536804,-0.24899999797344208,-0.2290000021457672,3
1123,-0.177734375,0.06489574909210205,-0.1822499930858612,0.04899999871850014,3
1124,-0.177734375,0.1937975287437439,-0.023499999195337296,0.17000000178813934,3
1125,-0.20703125,-0.25646892189979553,-0.242249995470047,-0.21299999952316284,3
1126,-0.244140625,0.07370126247406006,-0.12549999356269836,0.09799999743700027,3
1127,-0.19140625,0.06634059548377991,-0.19449999928474426,0.06599999964237213,3
1128,-0.25,-0.2885592579841614,-0.25999999046325684,-0.20550000667572021,3
