,n_params,n_qubits,runtime_mean,runtime_std
0,20555,5,0.028786635398864745,0.0034830438117807467
1,46105,5,0.035421228408813475,0.0028117013628892306
2,112205,5,0.0438744068145752,0.0029039560655698357
3,20555,100,0.08556523323059081,0.01195164703142518
4,46105,100,0.11979892253875732,0.012214578179891218
5,112205,100,0.2020421266555786,0.014266987661872003
6,20555,400,0.2349306106567383,0.006535250754191935
7,46105,400,0.40283851623535155,0.027512692163024193
8,112205,400,0.7744280338287354,0.05973235235952549
9,20555,1000,0.5208661317825317,0.017283692331190318
10,46105,1000,0.9689099073410035,0.06653910232113533
11,112205,1000,1.7176715850830078,0.06725670320281539
